"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NSW","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",151,0,2
2024,"NSW","Major Cities of Australia","40-64","speed_fines","Police issued",1888,0,10
2024,"NSW","Major Cities of Australia","40-64","unlicensed_driving","Not applicable",109,0,431
2024,"NSW","Major Cities of Australia","65 and over","mobile_phone_use","Police issued",31,0,0
2024,"NSW","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",24,0,0
2024,"NSW","Major Cities of Australia","65 and over","speed_fines","Police issued",285,0,0
2024,"NSW","Major Cities of Australia","65 and over","unlicensed_driving","Not applicable",9,0,29
2024,"NSW","Outer Regional Australia","12-16","non_wearing_seatbelts","Police issued",1,0,1
2024,"NSW","Outer Regional Australia","12-16","speed_fines","Police issued",2,0,0
2024,"NSW","Outer Regional Australia","12-16","unlicensed_driving","Not applicable",0,0,2
2024,"NSW","Outer Regional Australia","17-25","mobile_phone_use","Police issued",6,0,0
2024,"NSW","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",17,0,0
2024,"NSW","Outer Regional Australia","17-25","speed_fines","Police issued",347,0,1
2024,"NSW","Outer Regional Australia","17-25","unlicensed_driving","Not applicable",14,0,47
2024,"NSW","Outer Regional Australia","26-39","mobile_phone_use","Police issued",11,0,0
2024,"NSW","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",43,0,0
2024,"NSW","Outer Regional Australia","26-39","speed_fines","Police issued",639,0,1
2024,"NSW","Outer Regional Australia","26-39","unlicensed_driving","Not applicable",24,0,58
2024,"NSW","Outer Regional Australia","40-64","mobile_phone_use","Police issued",3,0,0
2024,"NSW","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",20,0,6
2024,"NSW","Outer Regional Australia","40-64","speed_fines","Police issued",732,0,1
2024,"NSW","Outer Regional Australia","40-64","unlicensed_driving","Not applicable",13,0,36
2024,"NSW","Outer Regional Australia","65 and over","mobile_phone_use","Police issued",2,0,0
2024,"NSW","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",8,0,0
2024,"NSW","Outer Regional Australia","65 and over","speed_fines","Police issued",194,0,0
2024,"NSW","Outer Regional Australia","65 and over","unlicensed_driving","Not applicable",1,0,3
2024,"NSW","Remote Australia","12-16","speed_fines","Police issued",1,0,0
2024,"NSW","Remote Australia","17-25","mobile_phone_use","Police issued",1,0,1
2024,"NSW","Remote Australia","17-25","non_wearing_seatbelts","Police issued",6,0,1
2024,"NSW","Remote Australia","17-25","speed_fines","Police issued",28,0,0
2024,"NSW","Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,4
2024,"NSW","Remote Australia","26-39","non_wearing_seatbelts","Police issued",9,0,0
2024,"NSW","Remote Australia","26-39","speed_fines","Police issued",55,0,0
2024,"NSW","Remote Australia","26-39","unlicensed_driving","Not applicable",2,0,9
2024,"NSW","Remote Australia","40-64","non_wearing_seatbelts","Police issued",3,0,0
2024,"NSW","Remote Australia","40-64","speed_fines","Police issued",54,0,0
2024,"NSW","Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,9
2024,"NSW","Remote Australia","65 and over","non_wearing_seatbelts","Police issued",3,0,0
2024,"NSW","Remote Australia","65 and over","speed_fines","Police issued",21,0,0
2024,"NSW","Unknown","12-16","speed_fines","Police issued",2,0,0
2024,"NSW","Unknown","12-16","unlicensed_driving","Not applicable",1,0,3
2024,"NSW","Unknown","17-25","mobile_phone_use","Police issued",12,0,1
2024,"NSW","Unknown","17-25","non_wearing_seatbelts","Police issued",11,0,0
2024,"NSW","Unknown","17-25","speed_fines","Police issued",96,0,5
2024,"NSW","Unknown","17-25","unlicensed_driving","Not applicable",6,0,51
2024,"NSW","Unknown","26-39","mobile_phone_use","Police issued",14,0,0
2024,"NSW","Unknown","26-39","non_wearing_seatbelts","Police issued",17,0,0
2024,"NSW","Unknown","26-39","speed_fines","Police issued",136,0,2
2024,"NSW","Unknown","26-39","unlicensed_driving","Not applicable",18,0,57
2024,"NSW","Unknown","40-64","mobile_phone_use","Police issued",10,0,0
2024,"NSW","Unknown","40-64","non_wearing_seatbelts","Police issued",15,0,0
2024,"NSW","Unknown","40-64","speed_fines","Police issued",126,0,0
2024,"NSW","Unknown","40-64","unlicensed_driving","Not applicable",8,0,52
2024,"NSW","Unknown","65 and over","mobile_phone_use","Police issued",2,0,0
2024,"NSW","Unknown","65 and over","non_wearing_seatbelts","Police issued",3,0,0
2024,"NSW","Unknown","65 and over","speed_fines","Police issued",26,0,0
2024,"NSW","Unknown","65 and over","unlicensed_driving","Not applicable",0,0,2
2024,"NSW","Very Remote Australia","12-16","unlicensed_driving","Not applicable",0,0,1
2024,"NSW","Very Remote Australia","17-25","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Very Remote Australia","17-25","speed_fines","Police issued",2,0,0
2024,"NSW","Very Remote Australia","17-25","unlicensed_driving","Not applicable",0,0,4
2024,"NSW","Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",2,0,0
2024,"NSW","Very Remote Australia","26-39","speed_fines","Police issued",4,0,0
2024,"NSW","Very Remote Australia","26-39","unlicensed_driving","Not applicable",0,0,3
2024,"NSW","Very Remote Australia","40-64","non_wearing_seatbelts","Police issued",1,0,0
2024,"NSW","Very Remote Australia","40-64","speed_fines","Police issued",5,0,0
2024,"NSW","Very Remote Australia","40-64","unlicensed_driving","Not applicable",1,0,2
2024,"NSW","Very Remote Australia","65 and over","unlicensed_driving","Not applicable",0,0,2
2024,"NT","Unknown","12-16","non_wearing_seatbelts","Police issued",0,0,3
2024,"NT","Unknown","12-16","speed_fines","Mobile camera",3,0,0
2024,"NT","Unknown","12-16","speed_fines","Police issued",2,0,0
2024,"NT","Unknown","12-16","unlicensed_driving","Not applicable",0,18,35
2024,"NT","Unknown","17-25","mobile_phone_use","Police issued",1,0,0
2024,"NT","Unknown","17-25","non_wearing_seatbelts","Police issued",6,0,3
2024,"NT","Unknown","17-25","speed_fines","Fixed camera",84,0,0
2024,"NT","Unknown","17-25","speed_fines","Mobile camera",460,0,0
2024,"NT","Unknown","17-25","speed_fines","Police issued",34,0,0
2024,"NT","Unknown","17-25","unlicensed_driving","Not applicable",0,13,45
2024,"NT","Unknown","26-39","mobile_phone_use","Police issued",6,0,1
2024,"NT","Unknown","26-39","non_wearing_seatbelts","Police issued",17,0,14
2024,"NT","Unknown","26-39","speed_fines","Fixed camera",380,0,0
2024,"NT","Unknown","26-39","speed_fines","Mobile camera",1254,0,0
2024,"NT","Unknown","26-39","speed_fines","Police issued",46,0,0
2024,"NT","Unknown","26-39","unlicensed_driving","Not applicable",6,12,56
2024,"NT","Unknown","40-64","mobile_phone_use","Police issued",1,0,0
2024,"NT","Unknown","40-64","non_wearing_seatbelts","Police issued",13,0,7
2024,"NT","Unknown","40-64","speed_fines","Fixed camera",511,0,0
2024,"NT","Unknown","40-64","speed_fines","Mobile camera",1575,0,0
2024,"NT","Unknown","40-64","speed_fines","Police issued",45,0,0
2024,"NT","Unknown","40-64","unlicensed_driving","Not applicable",7,4,29
2024,"NT","Unknown","65 and over","non_wearing_seatbelts","Police issued",1,0,0
2024,"NT","Unknown","65 and over","speed_fines","Fixed camera",83,0,0
2024,"NT","Unknown","65 and over","speed_fines","Mobile camera",381,0,0
2024,"NT","Unknown","65 and over","speed_fines","Police issued",5,0,0
2024,"QLD","Unknown","12-16","mobile_phone_use","Fixed camera",162,0,0
2024,"QLD","Unknown","12-16","mobile_phone_use","Police issued",2,0,0
2024,"QLD","Unknown","12-16","non_wearing_seatbelts","Fixed camera",42,0,0
2024,"QLD","Unknown","12-16","speed_fines","Fixed camera",602,0,0
2024,"QLD","Unknown","12-16","speed_fines","Mobile camera",748,0,0
2024,"QLD","Unknown","12-16","speed_fines","Police issued",4,0,0
2024,"QLD","Unknown","12-16","unlicensed_driving","Not applicable",59,0,0
2024,"QLD","Unknown","17-25","mobile_phone_use","Fixed camera",864,0,0
2024,"QLD","Unknown","17-25","mobile_phone_use","Police issued",64,0,0
2024,"QLD","Unknown","17-25","non_wearing_seatbelts","Fixed camera",386,0,0
2024,"QLD","Unknown","17-25","non_wearing_seatbelts","Police issued",99,0,0
2024,"QLD","Unknown","17-25","speed_fines","Fixed camera",2530,0,0
